日期,排名,极度推荐,极度推荐排名,V1.50极度分,V1.50优选分,V1.50当前强度,V1.50结构确认,V1.50修复质量,V1.50启动质量,V1.50量价协同,V1.50超热扣分,涨停基因分,原极度推荐分,代码,名称,推荐度,今日涨跌%,相对强度,RSI14,KDJ状态,20日涨幅%,60日高点回撤%,关注理由
2025-08-08,2,极度推荐,2,75.5,74.4,65.3,70.0,77.0,78.7,95.0,0.0,63.7,72.8,601279,英利汽车,54.0,0.49,51.7,52.63,多头,4.6,-21.19,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约4.6%，近5日约2.2%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.36，前期有明显缩量，而当前量比约1.05，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.5%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-08-08,3,极度推荐,3,74.9,75.1,62.1,70.0,90.0,83.1,100.0,3.0,77.0,83.7,603086,先达股份,53.8,1.57,47.9,47.41,多头,-7.98,-22.03,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-8.0%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.65，前期有明显缩量，而当前量比约1.34，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有9次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.8%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2025-08-11,1,极度推荐,1,76.0,75.1,59.6,57.0,98.0,84.1,95.0,0.0,74.2,83.3,002094,青岛金王,59.1,0.92,44.5,44.88,多头,-8.09,-17.92,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-8.1%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.51，前期有明显缩量，而当前量比约1.01，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有9次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约0.9%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2025-08-11,2,极度推荐,2,75.9,74.7,61.9,70.0,74.0,96.1,100.0,0.0,59.0,76.5,600643,爱建集团,54.9,1.15,47.2,49.31,多头,-5.54,-24.75,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-5.5%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.63，前期有明显缩量，而当前量比约1.29，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.2%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于跨零轴区域。
2025-08-11,3,极度推荐,3,75.5,74.2,61.3,57.0,93.0,76.7,95.0,0.0,65.0,78.8,003037,三和管桩,57.7,-0.66,50.7,54.86,多头,5.47,-21.96,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约5.5%，近5日约3.3%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.44，前期有明显缩量，而当前量比约1.22，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.4%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-08-12,1,极度推荐,1,87.1,85.4,66.2,95.0,96.0,94.1,100.0,0.0,65.7,82.6,600939,重庆建工,57.9,1.35,53.0,55.53,多头,1.9,-10.29,当前仍站在20日线之上，20日线相对60日线高约8.4%，但短线均线结构还不算特别强。近20日上涨约1.9%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.55，前期有明显缩量，而当前量比约1.33，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.2%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-08-15,1,极度推荐,1,84.2,82.4,65.4,95.0,91.0,84.1,100.0,0.0,44.5,80.9,600551,时代出版,54.1,0.54,51.2,50.82,多头,3.47,-13.4,当前仍站在20日线之上，20日线相对60日线高约1.4%，但短线均线结构还不算特别强。近20日上涨约3.5%，近5日约1.5%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.65，前期有明显缩量，而当前量比约1.02，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.4%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-08-18,1,极度推荐,1,79.7,78.6,62.4,70.0,88.0,96.1,100.0,0.0,65.7,81.8,600939,重庆建工,55.0,2.2,48.8,53.33,多头,-5.12,-11.24,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-5.1%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.67，前期有明显缩量，而当前量比约1.44，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.2%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-08-19,1,极度推荐,1,82.0,80.1,62.1,100.0,74.0,100.0,100.0,0.0,65.3,77.0,001896,豫能控股,45.1,0.72,47.8,51.82,多头,-2.95,-22.22,当前仍站在20日线之上，20日线相对60日线高约5.9%，但短线均线结构还不算特别强。近20日上涨约-2.9%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.78，前期有明显缩量，而当前量比约1.09，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.7%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-08-21,1,极度推荐,1,83.8,81.9,62.9,95.0,86.0,95.1,100.0,0.0,65.1,80.6,603333,福华尚纬,49.7,1.48,50.0,53.56,多头,3.26,-19.0,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约3.3%，近5日约1.5%，上涨速度相对温和，没有明显进入加速末端。近期5/20成交量比约0.87，量能处于收缩状态，但当前量比约1.37，启动力度还需要继续观察。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.5%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-08-22,1,极度推荐,1,82.3,84.3,68.3,95.0,100.0,98.1,100.0,5.7,62.7,81.0,603879,永悦科技,50.5,1.41,55.3,57.65,多头,4.06,-8.54,当前仍站在20日线之上，20日线相对60日线高约5.3%，但短线均线结构还不算特别强。近20日上涨约4.1%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.81，量能处于收缩状态，但当前量比约1.19，启动力度还需要继续观察。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.7%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-08-25,1,极度推荐,1,80.1,79.1,59.1,80.0,93.0,89.1,100.0,0.0,64.7,79.1,600939,重庆建工,50.7,1.1,44.9,51.8,空头,-2.39,-11.96,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-2.4%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.62，前期有明显缩量，而当前量比约1.03，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.2%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-08-26,1,极度推荐,1,86.6,85.4,68.8,100.0,83.0,100.0,100.0,0.0,67.0,77.9,600666,奥瑞德,69.9,0.48,55.9,66.41,多头,14.13,-3.67,当前仍站在20日线之上，20日线相对60日线高约17.3%，但短线均线结构还不算特别强。近20日上涨约14.1%，近5日约3.4%，上涨速度相对温和，没有明显进入加速末端。近期5/20成交量比约0.82，量能处于收缩状态，但当前量比约1.20，启动力度还需要继续观察。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.7%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-09-01,1,极度推荐,1,78.3,76.7,62.1,80.0,83.0,83.1,100.0,0.0,67.7,77.8,600828,茂业商业,52.0,1.97,47.6,50.69,多头,-9.98,-19.1,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-10.0%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.69，前期有明显缩量，而当前量比约1.46，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有8次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.4%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于跨零轴区域。
2025-09-02,1,极度推荐,1,88.5,89.8,74.8,100.0,91.0,90.1,100.0,0.0,68.9,79.3,002562,兄弟科技,74.7,1.47,64.0,59.84,多头,15.77,-11.42,当前仍站在20日线之上，20日线相对60日线高约13.7%，但短线均线结构还不算特别强。近20日上涨约15.8%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.57，前期有明显缩量，而当前量比约1.58，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有8次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.2%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-09-03,1,极度推荐,1,75.1,74.2,66.3,55.0,98.0,66.1,100.0,0.0,55.2,80.4,603980,吉华集团,28.9,2.08,54.1,40.84,多头,-9.24,-15.92,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-9.2%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.85，量能处于收缩状态，但当前量比约1.60，启动力度还需要继续观察。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.1%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2025-09-04,1,极度推荐,1,84.0,82.1,62.1,85.0,100.0,97.1,83.0,0.0,69.4,80.6,002370,亚太药业,52.2,-1.01,61.9,56.46,多头,3.45,-15.36,当前仍站在20日线之上，20日线相对60日线高约24.0%，但短线均线结构还不算特别强。近20日上涨约3.5%，短线约8.5%，已经偏热，继续追价的性价比下降。5/20成交量比约0.80，前期有明显缩量，而当前量比约1.72，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约4.7%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-09-08,1,极度推荐,1,84.2,82.9,67.0,85.0,91.0,95.1,100.0,0.0,56.4,81.4,601956,东贝集团,48.8,2.49,53.7,53.62,多头,-0.99,-8.85,当前仍站在20日线之上，20日线相对60日线高约2.2%，但短线均线结构还不算特别强。近20日上涨约-1.0%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.80，量能处于收缩状态，但当前量比约1.16，启动力度还需要继续观察。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.9%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于跨零轴区域。
2025-09-08,2,极度推荐,2,84.1,82.3,68.4,95.0,91.0,83.1,95.0,0.0,59.3,79.5,601279,英利汽车,60.6,1.66,54.9,57.14,多头,2.39,-17.53,当前仍站在20日线之上，20日线相对60日线高约3.3%，但短线均线结构还不算特别强。近20日上涨约2.4%，更像整理后的早期抬升，方向性仍需后续确认。近期量能没有明显收缩，5/20成交量比约0.95，因此“底部缩量”的特征并不突出。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.9%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-09-09,1,极度推荐,1,87.5,86.0,66.2,95.0,100.0,93.1,100.0,0.0,44.6,81.4,603017,中衡设计,44.4,0.93,53.2,52.92,多头,-0.61,-4.95,当前仍站在20日线之上，20日线相对60日线高约0.1%，但短线均线结构还不算特别强。近20日上涨约-0.6%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.68，前期有明显缩量，而当前量比约1.55，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.8%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2025-09-10,1,极度推荐,1,81.8,80.7,67.7,70.0,90.0,98.1,100.0,0.0,72.0,82.6,000514,渝开发,50.6,0.73,53.8,49.13,多头,-2.64,-26.75,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-2.6%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.62，前期有明显缩量，而当前量比约1.05，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.7%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2025-09-11,1,极度推荐,1,77.3,76.2,61.3,57.0,100.0,84.1,100.0,0.0,66.5,86.1,000889,中嘉博创,44.1,1.12,46.6,44.48,多头,-6.96,-19.6,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-7.0%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.79，前期有明显缩量，而当前量比约1.15，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.0%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2025-09-11,2,极度推荐,2,75.7,74.8,71.5,57.0,83.0,76.7,95.0,0.0,79.3,78.5,002177,御银股份,64.8,2.31,60.1,53.12,多头,15.99,-23.27,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约16.0%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.45，前期有明显缩量，而当前量比约1.28，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有10次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.8%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-09-11,3,极度推荐,3,73.6,74.9,64.1,57.0,87.0,87.1,95.0,3.0,77.3,80.1,002471,中超控股,67.4,2.17,50.7,48.66,多头,-1.46,-10.46,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-1.5%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.53，前期有明显缩量，而当前量比约1.34，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有15次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.2%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2025-09-12,1,极度推荐,1,87.5,88.9,75.2,100.0,91.0,88.1,95.0,0.0,48.1,76.8,000670,盈方微,72.2,2.15,64.0,56.8,多头,12.03,-12.75,当前仍站在20日线之上，20日线相对60日线高约10.2%，但短线均线结构还不算特别强。近20日上涨约12.0%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.53，前期有明显缩量，而当前量比约1.49，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约4.7%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-09-12,2,极度推荐,2,85.7,87.6,70.8,95.0,80.0,100.0,100.0,0.0,56.0,76.5,600770,综艺股份,73.1,1.5,58.9,58.6,多头,8.54,-6.01,当前仍站在20日线之上，20日线相对60日线高约5.8%，但短线均线结构还不算特别强。近20日上涨约8.5%，近5日约4.3%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.64，前期有明显缩量，而当前量比约1.40，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约4.9%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-09-15,1,极度推荐,1,87.4,89.0,73.1,100.0,91.0,97.1,100.0,0.9,65.0,77.6,000877,天山股份,68.5,1.52,62.2,60.57,多头,16.4,-9.62,当前仍站在20日线之上，20日线相对60日线高约15.0%，但短线均线结构还不算特别强。近20日上涨约16.4%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.60，前期有明显缩量，而当前量比约1.37，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.9%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-09-15,2,极度推荐,2,83.5,82.5,69.6,85.0,90.0,92.1,100.0,0.7,70.1,79.3,000965,天保基建,43.0,0.45,55.8,53.04,多头,-1.77,-9.02,当前仍站在20日线之上，20日线相对60日线高约3.3%，但短线均线结构还不算特别强。近20日上涨约-1.8%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.83，量能处于收缩状态，但当前量比约1.17，启动力度还需要继续观察。过去250个交易日有9次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.9%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。
2025-09-16,1,极度推荐,1,83.6,86.5,78.8,85.0,90.0,89.1,95.0,2.1,70.0,77.6,600156,华升股份,72.7,1.47,67.4,58.19,多头,20.64,-14.45,当前仍站在20日线之上，20日线相对60日线高约17.3%，但短线均线结构还不算特别强。近20日上涨约20.6%，短线约8.2%，已经偏热，继续追价的性价比下降。5/20成交量比约0.50，前期有明显缩量，而当前量比约1.26，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约4.9%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-09-17,1,极度推荐,1,76.6,76.3,66.7,57.0,90.0,88.1,100.0,0.6,79.3,79.6,002177,御银股份,54.2,0.37,52.8,54.99,多头,-1.82,-22.02,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-1.8%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.58，前期有明显缩量，而当前量比约1.28，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有10次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约3.6%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
2025-09-18,1,极度推荐,1,75.6,73.8,66.7,80.0,90.0,80.1,40.0,0.0,47.3,71.2,000420,吉林化纤,40.4,0.7,54.0,51.82,多头,-5.09,-9.68,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-5.1%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.87，量能处于收缩状态，但当前量比约2.45，启动力度还需要继续观察。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.4%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。
