推荐日,推荐排名,推荐度,代码,名称,推荐日收盘,T+1涨跌%,T+2累计%,T+3累计%,T+4累计%,T+5累计%,5日最高涨幅%,5日最低涨幅%,5日结果,T+1开盘买入,买入价,交易结果,持有交易日,卖出价,净收益%,第一止盈%,第二止盈%,软止损%,硬止损%,首止盈卖出仓位%,首次止盈日,最终清仓日,最高浮盈%,最大浮亏%,交易备注,原T+5收盘%
2026-08-27,1,95.6,000037,深南电A,9.85,-0.1,-2.03,-2.03,-5.18,-5.79,0.71,-5.99,完整5日,是,9.81,T+5收盘退出,5,9.28,-5.6,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.12,-5.61,2026-09-02触发软止损预警；2026-09-03触发软止损预警,-5.79
2026-08-27,2,76.9,002197,证通电子,7.01,-2.14,-0.43,0.86,0.86,0.43,2.28,-4.42,完整5日,是,7.03,T+5收盘退出,5,7.04,-0.06,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.99,-4.69,2026-08-31触发软止损预警,0.43
2026-08-27,3,76.0,000692,惠天热电,4.38,-0.68,-1.83,-0.68,0.91,-1.83,4.57,-2.51,完整5日,是,4.38,移动止盈退出,4,4.42,1.76,3.0,6.0,-3.0,-6.0,50.0,T+4,T+4,4.57,-2.51,2026-09-02达到第一止盈：卖出50%；2026-09-02从峰值回撤约2.2%后退出,-1.83
2026-08-27,4,74.4,002021,中捷资源,2.71,0.37,0.37,0.74,0.74,-0.74,2.21,-1.11,完整5日,是,2.73,T+5收盘退出,5,2.69,-1.67,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.47,-1.83,5日内未触发关键退出信号,-0.74
2026-08-27,5,73.8,600052,东望时代,3.91,1.02,1.02,2.81,1.79,1.02,3.58,-0.77,完整5日,是,3.88,移动止盈退出,5,3.95,2.2,3.0,6.0,-3.0,-6.0,50.0,T+3,T+5,4.38,0.0,2026-09-01达到第一止盈：卖出50%；2026-09-03从峰值回撤约2.2%后退出,1.02
2026-08-28,1,78.6,600635,大众公用,4.72,0.21,0.85,-0.64,-1.27,0.0,1.69,-1.91,完整5日,是,4.77,T+5收盘退出,5,4.72,-1.25,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.63,-2.94,5日内未触发关键退出信号,0.0
2026-08-28,2,78.2,000990,诚志股份,6.68,0.45,2.25,0.15,-0.9,-3.14,3.74,-3.89,完整5日,是,6.66,移动止盈退出,3,6.69,1.53,3.0,6.0,-3.0,-6.0,50.0,T+2,T+3,4.05,-1.95,2026-09-01达到第一止盈：卖出50%；2026-09-02从峰值回撤约2.2%后退出,-3.14
2026-08-28,3,77.1,605388,均瑶健康,6.26,-1.92,0.8,-1.92,-3.51,-1.28,1.44,-3.99,完整5日,是,6.3,T+5收盘退出,5,6.18,-2.1,3.0,6.0,-3.0,-6.0,50.0,,T+5,0.79,-4.6,2026-09-02触发软止损预警；2026-09-03触发软止损预警；2026-09-04触发软止损预警,-1.28
2026-08-28,4,70.9,603980,吉华集团,7.1,1.41,11.55,2.96,8.31,11.83,18.45,-2.68,完整5日,是,7.09,强势止盈/清仓,2,7.78,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,11.71,-2.26,2026-08-31盘中达到第一止盈，但T+1不可卖；2026-09-01达到第一止盈：卖出50%；盘中达到涨停级别，剩余仓位清仓,11.83
2026-08-28,5,70.6,600219,南山铝业,4.88,-0.82,0.61,0.0,1.02,0.82,2.46,-2.66,完整5日,是,4.83,首止盈后T+5退出,5,4.92,2.23,3.0,6.0,-3.0,-6.0,50.0,T+2,T+5,3.52,-1.66,2026-09-01达到第一止盈：卖出50%,0.82
2026-08-31,1,90.1,002291,遥望科技,5.46,10.07,8.24,5.31,5.86,6.59,14.1,-2.2,完整5日,是,5.36,移动止盈退出,2,5.91,6.43,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,16.23,-0.37,2026-09-01盘中达到第一止盈，但T+1不可卖；2026-09-02达到第一止盈：卖出50%；2026-09-02从峰值回撤约3.5%后退出,6.59
2026-08-31,2,85.6,002766,索菱股份,4.29,3.26,2.33,1.86,0.7,-0.47,12.12,-1.4,完整5日,是,4.25,移动止盈退出,4,4.32,2.12,3.0,6.0,-3.0,-6.0,50.0,T+2,T+4,13.18,0.0,2026-09-01盘中达到第一止盈，但T+1不可卖；2026-09-02达到第一止盈：卖出50%；2026-09-04从峰值回撤约3.5%后退出,-0.47
2026-08-31,3,79.1,002264,新华都,6.79,2.8,0.88,-1.03,1.91,3.24,3.53,-1.33,完整5日,是,6.79,首止盈后T+5退出,5,7.01,2.92,3.0,6.0,-3.0,-6.0,50.0,T+4,T+5,3.53,-1.33,2026-09-01盘中达到第一止盈，但T+1不可卖；2026-09-04达到第一止盈：卖出50%,3.24
2026-08-31,4,75.6,600617,国新能源,3.44,1.16,0.58,-3.2,-2.33,-3.2,3.2,-4.36,完整5日,是,3.42,移动止盈退出,2,3.46,1.88,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,3.8,-0.29,2026-09-01盘中达到第一止盈，但T+1不可卖；2026-09-02达到第一止盈：卖出50%；2026-09-02从峰值回撤约2.2%后退出,-3.2
2026-08-31,5,73.2,600266,城建发展,4.22,0.71,-0.71,0.24,1.9,0.71,3.55,-2.84,完整5日,是,4.17,移动止盈退出,5,4.25,2.26,3.0,6.0,-3.0,-6.0,50.0,T+3,T+5,4.8,-1.68,2026-09-03达到第一止盈：卖出50%；2026-09-07从峰值回撤约2.2%后退出,0.71
2026-09-01,1,96.4,002474,榕基软件,6.6,-0.61,-2.12,-0.61,-1.21,-0.3,1.21,-2.42,完整5日,是,6.51,T+5收盘退出,5,6.58,0.88,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.61,-1.08,5日内未触发关键退出信号,-0.3
2026-09-01,2,82.7,000889,中嘉博创,4.07,0.0,-1.97,-1.97,-2.95,-1.47,0.98,-3.19,完整5日,是,4.03,T+5收盘退出,5,4.01,-0.7,3.0,6.0,-3.0,-6.0,50.0,,T+5,1.99,-2.23,5日内未触发关键退出信号,-1.47
2026-09-01,3,77.7,000839,国安股份,2.82,-2.48,-4.26,-2.48,0.35,2.48,3.55,-4.61,完整5日,是,2.8,首止盈后T+5退出,5,2.89,2.91,3.0,6.0,-3.0,-6.0,50.0,T+5,T+5,4.29,-3.93,2026-09-03触发软止损预警；2026-09-07触发软止损预警；2026-09-08达到第一止盈：卖出50%,2.48
2026-09-01,4,75.3,002607,中公教育,2.13,-2.35,-5.16,-4.69,-3.76,0.0,1.88,-5.63,完整5日,是,2.12,T+5收盘退出,5,2.13,0.27,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.36,-5.19,2026-09-03触发软止损预警；2026-09-04触发软止损预警；2026-09-07触发软止损预警；2026-09-08触发软止损预警,0.0
2026-09-01,5,72.6,000678,襄阳轴承,9.14,1.09,2.19,0.88,2.52,3.61,4.92,-1.2,完整5日,是,9.06,移动止盈退出,3,9.22,2.18,3.0,6.0,-3.0,-6.0,50.0,T+2,T+3,5.85,-0.33,2026-09-03达到第一止盈：卖出50%；2026-09-04从峰值回撤约2.8%后退出,3.61
2026-09-02,1,61.2,002021,中捷资源,2.73,-1.47,-2.2,-1.47,2.2,0.37,2.93,-2.93,完整5日,是,2.75,T+5收盘退出,5,2.74,-0.56,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.18,-3.64,2026-09-04触发软止损预警；2026-09-07触发软止损预警,0.37
2026-09-02,2,54.4,002197,证通电子,7.07,-0.42,0.0,-0.71,-0.28,-2.83,3.82,-3.39,完整5日,是,7.09,移动止盈退出,2,7.07,1.16,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,3.53,-1.27,2026-09-04达到第一止盈：卖出50%；2026-09-04从峰值回撤约2.2%后退出,-2.83
2026-09-03,1,67.4,600219,南山铝业,4.93,-0.2,-1.22,1.01,2.84,1.42,3.04,-1.62,完整5日,是,4.95,T+5收盘退出,5,5.0,0.81,3.0,6.0,-3.0,-6.0,50.0,,T+5,2.63,-2.02,5日内未触发关键退出信号,1.42
2026-09-08,1,88.2,000006,深振业A,7.36,-2.31,-3.94,-6.93,-7.74,,-0.54,-8.97,仅有4个后续交易日,是,7.31,结构止损退出,3,6.85,-6.49,3.0,6.0,-3.0,-6.0,50.0,,T+3,0.14,-7.66,2026-09-10触发软止损预警；2026-09-11触发软止损预警；2026-09-11收盘确认结构破坏,
2026-09-08,2,81.2,002329,皇氏集团,4.06,-2.22,-3.69,-7.39,-7.39,,1.23,-8.87,仅有4个后续交易日,是,4.08,结构止损退出,3,3.76,-8.04,3.0,6.0,-3.0,-6.0,50.0,,T+3,0.74,-9.31,2026-09-10触发软止损预警；2026-09-11触发软止损预警；2026-09-11收盘确认结构破坏,
2026-09-08,3,64.8,600626,申达股份,3.72,0.54,-1.34,-3.49,-2.15,,1.08,-4.3,仅有4个后续交易日,是,3.7,T+5收盘退出,4,3.64,-1.82,3.0,6.0,-3.0,-6.0,50.0,,T+4,1.62,-3.78,2026-09-11触发软止损预警；2026-09-14触发软止损预警,
2026-09-09,1,77.2,600800,渤海化学,3.52,-0.28,-3.41,-3.69,,,0.57,-5.4,仅有3个后续交易日,是,3.52,T+5收盘退出,3,3.39,-3.89,3.0,6.0,-3.0,-6.0,50.0,,T+3,0.57,-5.4,2026-09-11触发软止损预警；2026-09-14触发软止损预警,
2026-09-09,2,67.7,601969,海南矿业,9.88,0.4,-3.24,-4.15,,,2.83,-4.96,仅有3个后续交易日,是,9.98,T+5收盘退出,3,9.47,-5.31,3.0,6.0,-3.0,-6.0,50.0,,T+3,1.8,-5.91,2026-09-11触发软止损预警；2026-09-14触发软止损预警,
2026-09-09,3,63.2,600736,苏州高新,6.86,-1.6,-5.1,-5.1,,,-0.58,-6.56,仅有3个后续交易日,是,6.8,T+5收盘退出,3,6.51,-4.46,3.0,6.0,-3.0,-6.0,50.0,,T+3,0.29,-5.74,2026-09-11触发软止损预警；2026-09-14触发软止损预警,
2026-09-09,4,60.3,601388,怡球资源,3.49,-2.01,-5.73,-5.44,,,0.0,-7.16,仅有3个后续交易日,是,3.49,T+5收盘退出,3,3.3,-5.64,3.0,6.0,-3.0,-6.0,50.0,,T+3,0.0,-7.16,2026-09-11触发软止损预警；2026-09-14触发软止损预警,
2026-09-09,5,56.6,000670,盈方微,7.17,0.84,2.79,5.72,,,7.39,-2.65,仅有3个后续交易日,是,7.1,强势止盈/清仓,3,7.53,4.3,3.0,6.0,-3.0,-6.0,50.0,T+2,T+3,8.45,-1.69,2026-09-10盘中达到第一止盈，但T+1不可卖；2026-09-11达到第一止盈：卖出50%；达到第二止盈,
2026-09-10,1,71.9,601616,广电电气,3.88,-1.03,-1.8,,,,-0.26,-2.58,仅有2个后续交易日,是,3.87,T+5收盘退出,2,3.81,-1.75,3.0,6.0,-3.0,-6.0,50.0,,T+2,0.0,-2.33,5日内未触发关键退出信号,
2026-09-10,2,69.3,000720,新能泰山,3.86,3.11,1.04,,,,7.51,-1.55,仅有2个后续交易日,是,3.84,移动止盈退出,2,3.9,2.08,3.0,6.0,-3.0,-6.0,50.0,T+2,T+2,8.07,-1.04,2026-09-11盘中达到第一止盈，但T+1不可卖；2026-09-14达到第一止盈：卖出50%；2026-09-14从峰值回撤约3.5%后退出,
2026-09-10,3,49.7,002795,永和智控,7.48,-4.01,0.8,,,,0.8,-6.95,仅有2个后续交易日,是,7.34,T+5收盘退出,2,7.54,2.52,3.0,6.0,-3.0,-6.0,50.0,,T+2,2.72,-5.18,2026-09-14触发软止损预警,
