排名,代码,名称,所属行业,主题标签,流通市值(亿),参考总市值(亿),市值状态,市值数据源,市值快照日期,筹码结构,启动评分,启动判断,极度推荐分,极度推荐理由,涨停基因分,涨停基因状态,涨停基因说明,动能协同,推荐度,基础策略分,市场评分,市场状态,相对强度,相对大盘1日%,相对大盘5日%,相对大盘20日%,严格匹配度,严格评级,关注理由,最新价,今日涨跌%,今日状态,收盘交易状态,激进买点,保守买点,激进止损,保守止损,激进止盈,保守止盈,激进周期,保守周期,计划依据,T+1开盘应对,MA5,MA10,MA20,MA60,20日平台高,20日低点,ATR14,DIF,DEA,MACD柱,MACD零轴,RSI14,RSI状态,K值,D值,J值,KDJ状态,近一年涨停次数,量比,5/20量比,20日涨幅%,近10日最大涨幅%,成交额(万),极度推荐,极度推荐排名
11,600683,京投发展,暂无同日行业数据,未分类,,,未取得市值,,,62/100｜筹码结构较好,79.1,近期缩量充分；短均线开始抬头；死叉距连续两天改善；RSI回升；推荐日上涨偏快,77.8,死叉修复｜强；强涨停基因；历史涨停后3日≥3%命中93%；偏强上涨｜谨防追高；当前量能温和放大,87.4,强涨停基因,250日涨停27次；近60日7次；距最近涨停16日；历史涨停后3日≥3%命中93%；历史涨停后3日≥5%命中81%,RSI 中性｜KDJ 多头｜MACD 趋强,67.8,61.6,61.9,震荡偏强，精选个股,51.6,1.84,1.15,-3.8,70.6,可重点观察,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-3.7%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.38，前期有明显缩量，而当前量比约1.24，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有27次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约4.3%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,9.64,2.55,偏强上涨｜谨防追高,结构偏弱，不建议因为低价或历史涨停次数单独介入,9.80~9.80（承接/回踩）,12.17~12.26（突破确认）,9.60,11.83,12.13 / 12.13,12.70 / 13.06,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.38，说明前期有较明显的量能收缩。今日量比约1.24，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.073。,明显高开：不追高，优先等待回踩参考买入区并确认承接,9.45,9.62,9.96,9.74,12.13,9.19,0.448,-0.172,-0.099,-0.146,下方,47.27,中性,24.49,19.98,33.52,多头,27,1.24,0.38,-3.7,4.29,15407.05,,
12,002291,遥望科技,暂无同日行业数据,未分类,,,未取得市值,,,62/100｜筹码结构较好,89.7,近期缩量充分；死叉距连续两天改善；RSI回升；推荐日未明显追涨,74.2,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中78%；低位震荡/轻微回落；前期缩量结构较好；当前量能温和放大,57.5,一般涨停基因,250日涨停9次；近60日2次；距最近涨停13日；历史涨停后3日≥3%命中78%；历史涨停后3日≥5%命中56%,RSI 中性｜KDJ 多头｜MACD 中性,67.7,53.4,61.9,震荡偏强，精选个股,51.8,-0.54,-0.69,6.86,100.0,强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约7.0%，近5日约-0.9%，上涨速度相对温和，没有明显进入加速末端。5/20成交量比约0.59，前期有明显缩量，而当前量比约1.03，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有9次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.1%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于上方区域。,5.53,0.18,低位震荡/轻微回落,结构偏弱，不建议因为低价或历史涨停次数单独介入,5.57~5.57（承接/回踩）,6.25~6.29（突破确认）,5.35,6.08,6.23 / 6.23,6.53 / 6.71,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.59，说明前期有较明显的量能收缩。今日量比约1.03，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,5.47,5.59,5.53,5.23,6.23,5.02,0.231,0.043,0.078,-0.069,上方,51.17,中性,32.89,32.59,33.47,多头,9,1.03,0.59,6.96,2.06,13459.2,,
13,000036,华联控股,暂无同日行业数据,未分类,,,未取得市值,,,62/100｜筹码结构较好,87.1,近期缩量充分；死叉距连续两天改善；RSI回升,77.0,死叉修复｜强；中强涨停基因；历史涨停后3日≥3%命中82%；温和上涨；前期缩量结构较好；当前量能温和放大,60.8,中强涨停基因,250日涨停11次；近60日1次；距最近涨停48日；历史涨停后3日≥3%命中82%；历史涨停后3日≥5%命中82%,RSI 中性｜KDJ 多头｜MACD 趋强,67.5,53.2,61.9,震荡偏强，精选个股,51.5,1.11,1.77,-3.57,89.5,强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-3.5%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.72，前期有明显缩量，而当前量比约1.21，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有11次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约1.9%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,3.9,1.83,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,3.91~3.91（承接/回踩）,4.31~4.33（突破确认）,3.86,4.24,4.30 / 4.30,4.44 / 4.52,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.72，说明前期有较明显的量能收缩。今日量比约1.21，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.002。,明显高开：不追高，优先等待回踩参考买入区并确认承接,3.81,3.87,3.95,4.09,4.3,3.69,0.104,-0.078,-0.077,-0.004,下方,45.56,中性,43.17,30.01,69.49,多头,11,1.21,0.72,-3.47,1.88,8409.63,,
14,600829,人民同泰,暂无同日行业数据,未分类,,,未取得市值,,,62/100｜筹码结构较好,77.1,近期缩量充分；死叉距连续两天改善；RSI回升；推荐日上涨偏快,77.9,死叉修复｜强；强涨停基因；历史涨停后3日≥3%命中100%；偏强上涨｜谨防追高；当前量能温和放大,87.0,强涨停基因,250日涨停14次；近60日6次；距最近涨停18日；历史涨停后3日≥3%命中100%；历史涨停后3日≥5%命中86%,RSI 中性｜KDJ 多头｜MACD 趋强,67.2,60.7,61.9,震荡偏强，精选个股,54.4,1.84,2.22,-0.11,80.6,较强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约0.0%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.52，前期有明显缩量，而当前量比约1.42，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有14次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.6%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,9.62,2.56,偏强上涨｜谨防追高,结构偏弱，不建议因为低价或历史涨停次数单独介入,9.78~9.78（承接/回踩）,10.80~10.88（突破确认）,9.61,10.53,10.77 / 10.77,11.24 / 11.53,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.52，说明前期有较明显的量能收缩。今日量比约1.42，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.098。,明显高开：不追高，优先等待回踩参考买入区并确认承接,9.44,9.68,9.91,9.56,10.77,9.1,0.364,-0.156,-0.058,-0.196,下方,46.68,中性,21.8,19.66,26.07,多头,14,1.42,0.52,0.0,2.56,13470.21,,
15,600604,市北高新,暂无同日行业数据,未分类,,,未取得市值,,,64/100｜筹码结构较好,87.1,近期缩量充分；死叉距连续两天改善；RSI回升,73.0,死叉修复｜强；中强涨停基因；历史涨停后3日≥3%命中71%；温和上涨；当前量能温和放大,59.9,中强涨停基因,250日涨停7次；近60日3次；距最近涨停17日；历史涨停后3日≥3%命中71%；历史涨停后3日≥5%命中57%,RSI 中性｜KDJ 多头｜MACD 趋强,66.6,51.7,61.9,震荡偏强，精选个股,54.5,1.5,1.52,2.57,83.4,较强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约2.7%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.37，前期有明显缩量，而当前量比约1.25，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.2%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于跨零轴区域。,4.61,2.22,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,4.69~4.69（承接/回踩）,5.20~5.22（突破确认）,4.63,5.09,5.18 / 5.18,5.36 / 5.47,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.37，说明前期有较明显的量能收缩。今日量比约1.25，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.045。,明显高开：不追高，优先等待回踩参考买入区并确认承接,4.51,4.62,4.74,4.47,5.18,4.35,0.138,-0.024,0.021,-0.09,跨零轴,48.93,中性,28.89,21.81,43.06,多头,7,1.25,0.37,2.67,2.22,6962.79,,
16,002031,巨轮智能,暂无同日行业数据,未分类,,,未取得市值,,,64/100｜筹码结构较好,75.1,近期缩量充分；死叉距连续两天改善；RSI回升；推荐日上涨偏快,71.4,死叉修复｜强；中强涨停基因；历史涨停后3日≥3%命中86%；偏强上涨｜谨防追高；前期缩量结构较好,64.1,中强涨停基因,250日涨停7次；近60日2次；距最近涨停27日；历史涨停后3日≥3%命中86%；历史涨停后3日≥5%命中57%,RSI 中性｜KDJ 多头｜MACD 趋强,66.5,60.6,61.9,震荡偏强，精选个股,56.0,1.82,2.94,2.03,79.8,较强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约2.1%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.56，量能处于收缩状态，但当前量比约1.94，启动力度还需要继续观察。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.5%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,5.25,2.54,偏强上涨｜谨防追高,价格仍在20日线上方，但结构优势有限，等待进一步确认,5.18~5.22（承接/回踩）,5.73~5.77（突破确认）,5.05,5.56,5.71 / 5.71,5.99 / 6.16,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“弱趋势”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.56，说明前期有较明显的量能收缩。今日量比约1.94，放量程度需要继续观察。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.014。,明显高开：不追高，优先等待回踩参考买入区并确认承接,5.11,5.21,5.22,5.29,5.71,4.96,0.219,-0.068,-0.053,-0.029,下方,49.34,中性,24.73,22.36,29.48,多头,7,1.94,0.56,2.14,2.54,47867.46,,
17,002067,景兴纸业,暂无同日行业数据,未分类,,,未取得市值,,,63/100｜筹码结构较好,96.1,近期缩量充分；处于平台下方可观察区；死叉距连续两天改善；RSI回升；推荐日未明显追涨,77.2,死叉修复｜强；中强涨停基因；历史涨停后3日≥3%命中100%；温和上涨；前期缩量结构较好；当前量能温和放大,61.2,中强涨停基因,250日涨停8次；近60日2次；距最近涨停51日；历史涨停后3日≥3%命中100%；历史涨停后3日≥5%命中50%,RSI 中性｜KDJ 多头｜MACD 趋强,66.4,49.2,61.9,震荡偏强，精选个股,53.5,0.77,1.69,1.89,100.0,强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约2.0%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.70，前期有明显缩量，而当前量比约1.18，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有8次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.0%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,4.09,1.49,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,4.08~4.09（承接/回踩）,4.35~4.37（突破确认）,4.04,4.27,4.34 / 4.34,4.48 / 4.57,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.70，说明前期有较明显的量能收缩。今日量比约1.18，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.010。,明显高开：不追高，优先等待回踩参考买入区并确认承接,4.02,4.08,4.12,4.16,4.34,3.89,0.106,-0.059,-0.049,-0.02,下方,47.06,中性,37.63,31.26,50.36,多头,8,1.18,0.7,2.0,2.03,10770.12,,
18,600775,南京熊猫,暂无同日行业数据,未分类,,,未取得市值,,,63/100｜筹码结构较好,81.2,近期量能收缩；处于平台下方可观察区；死叉距开始改善；RSI回升,69.2,死叉修复｜强；中强涨停基因；历史涨停后3日≥3%命中86%；温和上涨；前期缩量结构较好；当前量能温和放大,60.1,中强涨停基因,250日涨停7次；近60日2次；距最近涨停38日；历史涨停后3日≥3%命中86%；历史涨停后3日≥5%命中86%,RSI 中性｜KDJ 空头｜MACD 趋强,64.8,54.3,61.9,震荡偏强，精选个股,53.2,1.7,-0.41,3.51,80.1,较强匹配,当前仍站在20日线之上，20日线相对60日线高约2.0%，但短线均线结构还不算特别强。近20日上涨约3.6%，近5日约-0.6%，上涨速度相对温和，没有明显进入加速末端。近期5/20成交量比约0.84，量能处于收缩状态，但当前量比约1.23，启动力度还需要继续观察。过去250个交易日有7次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.4%。MACD仍处死叉，今天快慢线之间的MACD距开始缩小，属于死叉开始修复，位于跨零轴区域。,9.73,2.42,温和上涨,中期趋势仍在，但短线位置一般，更适合等待回踩确认,9.71~9.78（承接/回踩）,10.18~10.23（突破确认）,9.52,9.99,10.15 / 10.30,10.48 / 10.68,回踩企稳后最早T+1观察；按ATR与目标空间预计3~5个交易日,确认后最早T+1观察；按当前波动率预计3~6个交易日,当前结构属于“趋势回踩”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.84，说明前期有较明显的量能收缩。今日量比约1.23，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.025。,明显高开：不追高，优先等待回踩参考买入区并确认承接,9.66,9.76,9.72,9.53,10.15,9.1,0.249,-0.003,0.022,-0.05,跨零轴,50.13,中性,30.69,32.47,27.13,空头,7,1.23,0.84,3.62,2.42,11197.48,,
19,002387,维信诺,暂无同日行业数据,未分类,,,未取得市值,,,63/100｜筹码结构较好,89.1,近期缩量充分；短均线开始抬头；死叉距连续两天改善；RSI回升,69.7,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中60%；温和上涨；前期缩量结构较好,48.3,一般涨停基因,250日涨停5次；近60日1次；距最近涨停38日；历史涨停后3日≥3%命中60%；历史涨停后3日≥5%命中60%,RSI 中性｜KDJ 多头｜MACD 趋强,64.5,50.6,61.9,震荡偏强，精选个股,52.2,1.46,2.83,-5.23,74.5,可重点观察,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-5.1%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.61，量能处于收缩状态，但当前量比约1.98，启动力度还需要继续观察。过去250个交易日有5次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.2%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,7.03,2.18,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,7.01~7.01（承接/回踩）,7.65~7.68（突破确认）,6.94,7.54,7.63 / 7.63,7.84 / 7.97,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.61，说明前期有较明显的量能收缩。今日量比约1.98，放量程度需要继续观察。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.010。,明显高开：不追高，优先等待回踩参考买入区并确认承接,6.89,6.93,7.07,7.2,7.63,6.75,0.156,-0.073,-0.063,-0.02,下方,49.37,中性,40.73,26.43,69.32,多头,5,1.98,0.61,-5.13,2.18,9970.2,,
20,002030,达安基因,暂无同日行业数据,未分类,,,未取得市值,,,62/100｜筹码结构较好,80.1,近期缩量充分；死叉距连续两天改善；RSI回升,74.1,死叉修复｜强；中强涨停基因；历史涨停后3日≥3%命中83%；温和上涨；前期缩量结构较好,58.2,中强涨停基因,250日涨停6次；近60日1次；距最近涨停21日；历史涨停后3日≥3%命中83%；历史涨停后3日≥5%命中83%,RSI 中性｜KDJ 多头｜MACD 趋强,64.3,51.6,61.9,震荡偏强，精选个股,51.4,1.18,1.91,-4.21,77.3,较强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-4.1%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.69，量能处于收缩状态，但当前量比约1.83，启动力度还需要继续观察。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.6%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,5.37,1.9,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,5.39~5.39（承接/回踩）,5.92~5.95（突破确认）,5.33,5.81,5.90 / 5.90,6.08 / 6.19,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.69，说明前期有较明显的量能收缩。今日量比约1.83，放量程度需要继续观察。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.023。,明显高开：不追高，优先等待回踩参考买入区并确认承接,5.28,5.37,5.44,5.39,5.9,5.16,0.137,-0.063,-0.04,-0.046,下方,47.51,中性,28.1,24.78,34.75,多头,6,1.83,0.69,-4.11,2.55,11479.19,,
21,002412,汉森制药,暂无同日行业数据,未分类,,,未取得市值,,,65/100｜筹码结构较好,76.7,近期缩量充分；死叉距连续两天改善；RSI回升,73.8,死叉修复｜强；强涨停基因；历史涨停后3日≥3%命中89%；温和上涨；当前量能温和放大,75.2,强涨停基因,250日涨停9次；近60日7次；距最近涨停18日；历史涨停后3日≥3%命中89%；历史涨停后3日≥5%命中89%,RSI 中性｜KDJ 多头｜MACD 中性,63.7,53.7,61.9,震荡偏强，精选个股,49.3,1.31,2.82,-11.39,70.8,可重点观察,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-11.3%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.49，前期有明显缩量，而当前量比约1.55，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有9次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.2%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于跨零轴区域。,9.04,2.03,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,10.20~10.20（承接/回踩）,14.27~14.39（突破确认）,9.95,13.85,14.23 / 14.23,14.95 / 15.40,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.49，说明前期有较明显的量能收缩。今日量比约1.55，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,8.85,9.13,10.4,8.03,14.23,8.57,0.563,-0.013,0.291,-0.609,跨零轴,47.36,中性,16.94,12.23,26.34,多头,9,1.55,0.49,-11.29,2.19,51698.04,,
22,601700,风范股份,暂无同日行业数据,未分类,,,未取得市值,,,64/100｜筹码结构较好,82.7,近期缩量充分；死叉距连续两天改善；RSI回升；推荐日未明显追涨,78.0,死叉修复｜强；强涨停基因；历史涨停后3日≥3%命中69%；温和上涨；当前量能温和放大,79.6,强涨停基因,250日涨停16次；近60日11次；距最近涨停15日；历史涨停后3日≥3%命中69%；历史涨停后3日≥5%命中50%,RSI 中性｜KDJ 多头｜MACD 中性,63.3,51.5,61.9,震荡偏强，精选个股,43.5,-0.08,-2.1,-9.52,87.1,强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-9.4%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.47，前期有明显缩量，而当前量比约1.07，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有16次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.9%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于跨零轴区域。,6.35,0.63,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,7.05~7.05（承接/回踩）,8.81~8.90（突破确认）,6.84,8.47,8.78 / 8.78,9.34 / 9.70,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.47，说明前期有较明显的量能收缩。今日量比约1.07，存在温和放量。MACD仍缺乏持续向上确认，因此买点更偏向等待结构验证。,明显高开：不追高，优先等待回踩参考买入区并确认承接,6.22,6.48,7.2,6.03,8.78,6.02,0.449,-0.133,0.073,-0.413,跨零轴,43.97,中性,16.2,13.59,21.41,多头,16,1.07,0.47,-9.42,2.94,46752.67,,
23,603222,济民健康,暂无同日行业数据,未分类,,,未取得市值,,,55/100｜筹码结构中性,81.1,近期量能收缩；死叉距连续两天改善；推荐日未明显追涨,78.8,死叉修复｜强；强涨停基因；历史涨停后3日≥3%命中90%；低位震荡/轻微回落；前期缩量结构较好,75.8,强涨停基因,250日涨停10次；近60日6次；距最近涨停33日；历史涨停后3日≥3%命中90%；历史涨停后3日≥5%命中80%,RSI 中性｜KDJ 多头｜MACD 趋强,62.8,51.6,61.9,震荡偏强，精选个股,46.2,-1.1,0.08,-5.58,89.7,强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-5.5%，更像整理后的早期抬升，方向性仍需后续确认。近期5/20成交量比约0.84，量能处于收缩状态，但当前量比约1.63，启动力度还需要继续观察。过去250个交易日有10次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约0.9%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,7.77,-0.38,低位震荡/轻微回落,结构偏弱，不建议因为低价或历史涨停次数单独介入,7.93~7.93（承接/回踩）,8.70~8.75（突破确认）,7.81,8.50,8.67 / 8.67,9.02 / 9.23,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.84，说明前期有较明显的量能收缩。今日量比约1.63，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.026。,明显高开：不追高，优先等待回踩参考买入区并确认承接,7.75,7.88,8.03,8.41,8.67,7.53,0.268,-0.18,-0.154,-0.053,下方,39.5,中性,19.92,17.42,24.92,多头,10,1.63,0.84,-5.47,0.91,9795.84,,
24,600126,杭钢股份,暂无同日行业数据,未分类,,,未取得市值,,,60/100｜筹码结构较好,93.1,近期缩量充分；死叉距连续两天改善；RSI回升；推荐日未明显追涨,73.8,死叉修复｜强；一般涨停基因；历史涨停后3日≥3%命中67%；温和上涨；前期缩量结构较好；当前量能温和放大,54.1,一般涨停基因,250日涨停6次；近60日2次；距最近涨停28日；历史涨停后3日≥3%命中67%；历史涨停后3日≥5%命中67%,RSI 中性｜KDJ 多头｜MACD 趋强,61.8,46.4,61.9,震荡偏强，精选个股,46.5,0.43,0.04,-8.96,88.0,强匹配,价格虽然进入候选，但均线结构并不算漂亮，后续更依赖实际承接而不是单纯趋势延续。近20日上涨约-8.8%，更像整理后的早期抬升，方向性仍需后续确认。5/20成交量比约0.56，前期有明显缩量，而当前量比约1.08，属于“先缩量、再温和放量”的状态，这一点比较贴合当前策略。过去250个交易日有6次涨停，历史弹性明显高于普通低价股；近10日最大单日涨幅约2.8%。MACD仍处死叉，快慢线之间的MACD距已连续两天缩小，属于死叉修复状态，位于下方区域。,6.18,1.15,温和上涨,结构偏弱，不建议因为低价或历史涨停次数单独介入,6.38~6.38（承接/回踩）,7.04~7.07（突破确认）,6.31,6.92,7.02 / 7.02,7.23 / 7.36,信号偏弱，建议只做3个交易日以内的观察，不宜预设长期持仓,等待趋势重新改善后再评估，当前不建立明确持有周期,当前结构属于“偏弱”，因此计划重点是等待确认，而不是因为评分高就直接追价。5/20成交量比约0.56，说明前期有较明显的量能收缩。今日量比约1.08，存在温和放量。MACD仍处于金叉临界区，DIF正在向上靠拢DEA，差值约0.037。,明显高开：不追高，优先等待回踩参考买入区并确认承接,6.15,6.26,6.44,6.4,7.02,6.04,0.161,-0.141,-0.104,-0.074,下方,41.26,中性,15.85,14.36,18.81,多头,6,1.08,0.56,-8.85,2.82,17087.26,,
